source	text	source_code	weight	missing_chars
cn_dicts/8105.dict.yaml	㛚	tong	0	㛚
cn_dicts/8105.dict.yaml	𦒍	tong	0	𦒍
cn_dicts/8105.dict.yaml	𫍣	tong	0	𫍣
cn_dicts/8105.dict.yaml	㻬	tu	0	㻬
cn_dicts/8105.dict.yaml	𬳿	tu	0	𬳿
cn_dicts/8105.dict.yaml	𬯎	tui	0	𬯎
cn_dicts/8105.dict.yaml	𬶍	tuo	0	𬶍
cn_dicts/8105.dict.yaml	𬇕	wan	0	𬇕
cn_dicts/8105.dict.yaml	𣲗	wei	0	𣲗
cn_dicts/8105.dict.yaml	𫇭	wei	0	𫇭
cn_dicts/8105.dict.yaml	𬀩	wei	0	𬀩
cn_dicts/8105.dict.yaml	𬱟	wei	0	𬱟
cn_dicts/8105.dict.yaml	𬶏	wei	0	𬶏
cn_dicts/8105.dict.yaml	𫘜	wen	0	𫘜
cn_dicts/8105.dict.yaml	𬭩	weng	0	𬭩
cn_dicts/8105.dict.yaml	𣲘	wu	0	𣲘
cn_dicts/8105.dict.yaml	𠅤	xi	0	𠅤
cn_dicts/8105.dict.yaml	𫘬	xi	0	𫘬
cn_dicts/8105.dict.yaml	𬭳	xi	0	𬭳
cn_dicts/8105.dict.yaml	𬶮	xi	0	𬶮
cn_dicts/8105.dict.yaml	㬎	xian	0	㬎
cn_dicts/8105.dict.yaml	𪾢	xian	0	𪾢
cn_dicts/8105.dict.yaml	𫍯	xian	0	𫍯
cn_dicts/8105.dict.yaml	𬀪	xian	0	𬀪
cn_dicts/8105.dict.yaml	𬸣	xian	0	𬸣
cn_dicts/8105.dict.yaml	𬙋	xiang	0	𬙋
cn_dicts/8105.dict.yaml	𫍲	xiao	0	𫍲
cn_dicts/8105.dict.yaml	㙦	xie	0	㙦
cn_dicts/8105.dict.yaml	𤫉	xie	0	𤫉
cn_dicts/8105.dict.yaml	𬹼	xie	0	𬹼
cn_dicts/8105.dict.yaml	䜣	xin	0	䜣
cn_dicts/8105.dict.yaml	𫷷	xin	0	𫷷
cn_dicts/8105.dict.yaml	𫰛	xing	0	𫰛
cn_dicts/8105.dict.yaml	䗛	xiu	0	䗛
cn_dicts/8105.dict.yaml	㳚	xu	0	㳚
cn_dicts/8105.dict.yaml	𦈡	xu	0	𦈡
cn_dicts/8105.dict.yaml	𬣙	xu	0	𬣙
cn_dicts/8105.dict.yaml	𫍽	xuan	0	𫍽
cn_dicts/8105.dict.yaml	𫓶	xuan	0	𫓶
cn_dicts/8105.dict.yaml	𫠊	xuan	0	𫠊
cn_dicts/8105.dict.yaml	𫄸	xun	0	𫄸
cn_dicts/8105.dict.yaml	𬊈	xun	0	𬊈
cn_dicts/8105.dict.yaml	𬍤	xun	0	𬍤
cn_dicts/8105.dict.yaml	𬘓	xun	0	𬘓
cn_dicts/8105.dict.yaml	𬩽	xun	0	𬩽
cn_dicts/8105.dict.yaml	䶮	yan	0	䶮
cn_dicts/8105.dict.yaml	𪩘	yan	0	𪩘
cn_dicts/8105.dict.yaml	𫄧	yan	0	𫄧
cn_dicts/8105.dict.yaml	𬙂	yan	0	𬙂
cn_dicts/8105.dict.yaml	𬸘	yan	0	𬸘
cn_dicts/8105.dict.yaml	㙘	yao	0	㙘
cn_dicts/8105.dict.yaml	㑊	yi	0	㑊
cn_dicts/8105.dict.yaml	𫄷	yi	0	𫄷
cn_dicts/8105.dict.yaml	𫖮	yi	0	𫖮
